Site Name,URL,Wikipedia URL,Coordinates,Latitude,Longitude,established_Date,established_Year,nearest_City,visitors,openingDates,openingTime?,type,activities,image,image_credit,facebook_account,instagram_account,twitter_account,admission,extra visitor information 
Carlsbad Caverns National Park,https://www.nps.gov/cave/index.htm,https://en.wikipedia.org/wiki/Carlsbad_Caverns_National_Park,"32.175278, -104.443889",32.175278,-104.443889,14-May-30,1930,"Carlsbad, NM",7841:44:00,Year round,8 AM - 5 PM,National Park,"Hiking, Camping, Picnicking, Wildlife Viewing",,,,,https://twitter.com/CavernsNPS,,
International UFO Museum and Research Center,https://www.roswellufomuseum.com/,https://en.wikipedia.org/wiki/International_UFO_Museum_and_Research_Center,"33.393611, -104.523056",33.393611,-104.523056,N/A,1991,"Roswell, NM",,Year round,9 AM - 5PM,Museum,"Alien Enthusiasm, Education",,,,,N/A,,
White Sands National Park,https://www.nps.gov/whsa/index.htm,https://en.wikipedia.org/wiki/White_Sands_National_Park,"32.779167, -106.171944",32.779167,-106.171944,20-Dec-19,2019,"Alamogordo, NM",,Year round,"Varies depending on season, opens at 7 AM-https://www.nps.gov/whsa/planyourvisit/hours.htm",National Park,"Hiking, Picknicking, Sandsurfing",,,,,https://www.instagram.com/whitesandsnps/,,
Cumbres and Toltec Scenic Railroad,https://cumbrestoltec.com/,https://en.wikipedia.org/wiki/Cumbres_and_Toltec_Scenic_Railroad,"36.9, -106.583333",36.9,-106.583333,N/A,1971,"Chama, NM",,Summer: June 3-Aug 31 Fall: Sept. 1- Oct. 21,Varies depending on train https://cumbrestoltec.com/schedule/?utm_source=Q1&utm_medium=search&utm_campaign=2023&gclid=CjwKCAjw3POhBhBQEiwAqTCuBkU105v7RMuSQJ45tMRj6xzd6hY8KLx3uJa0pla-bBPW8VOl9omvGhoCNnoQAvD_BwE,Railroad,,,,,,https://www.tripadvisor.com/Attraction_Review-g46978-d3626125-Reviews-Cumbres_Toltec_Scenic_Railroad-Chama_New_Mexico.html,,
High Noon Restaurant and Saloon,https://www.highnoonrestaurant.com/,N/A,"35.098324, -106.66949",35.098324,-106.66949,"July, 1974",1974,"Albuquerque, NM",,Wed - Sun ,12 PM - 8PM,Restaurant,Eating,,,,,https://twitter.com/highnoonabq,,
TinkerTown,https://tinkertown.com/,https://en.wikipedia.org/wiki/Tinkertown_Museum,"35.169167, -106.367778",35.169167,-106.367778,N/A,1983,"Sandia Park, NM",,Fri - Mon,10 AM - 4 PM,Museum,,,,https://www.facebook.com/Tinkertown/,,,$6.00 Adults $3.00 Kids Under 4 are free,
New Mexico Museum of Natural History and Science,https://www.nmnaturalhistory.org/,https://en.wikipedia.org/wiki/New_Mexico_Museum_of_Natural_History_and_Science,"35.0981, -106.6655",35.0981,-106.6655,N/A,1986,"Albuquerque, NM",,Wed- Mon,9 AM - 5 PM,Museum,,,,,,https://twitter.com/NMMNHS_Paleo,$8.00 Adults Seniors $7.00 Children $5.00 Under 2 Free,https://www.nmnaturalhistory.org/visitors/visitor-information
Bandelier National Monument,https://www.nps.gov/band/index.htm,https://en.wikipedia.org/wiki/Bandelier_National_Monument,"35.778889, -106.321111",35.778889,-106.321111,"Feb. 11, 1916",1916,"Los Alamos, NM",,Year round,9 AM - 5 PM,National Monument,,,,,,https://twitter.com/BandelierNPS,,
Albuquerque International Balloon Fiesta,https://balloonfiesta.com/,https://en.wikipedia.org/wiki/Albuquerque_International_Balloon_Fiesta,"35.196111, -106.5975",35.196111,-106.5975,"Apr. 8, 1972",1972,"Albuquerque, NM",,Oct. 7th-15th,5:45 AM - 8:00 PM,Event,,,,,,https://twitter.com/balloonfiesta,,
Trinity Atomic Bomb Site,https://www.nps.gov/whsa/learn/historyculture/trinity-site.htm,https://en.wikipedia.org/wiki/Trinity_(nuclear_test),"33.67722, -106.47527",33.67722,-106.47527,"Jul. 16, 1945",1945,"Alamogordo, NM",,Apr- Oct ,8 AM - 2 PM,National Park,,,,,,https://www.instagram.com/whitesandsnps/,,
